epoch,step,train_loss,val_loss
0,49,0.007501834537833929,
0,49,,0.004453352652490139
1,99,0.004317775368690491,
1,99,,0.00360686331987381
2,149,0.0046830205246806145,
2,149,,0.0033875133376568556
3,199,0.004285765346139669,
3,199,,0.003349621081724763
4,249,0.0033269221894443035,
4,249,,0.003250236390158534
5,299,0.0033279387280344963,
5,299,,0.0033690647687762976
6,349,0.0031739629339426756,
6,349,,0.003522106446325779
7,399,0.0047544073313474655,
7,399,,0.003056599758565426
8,449,0.0019853906705975533,
8,449,,0.0030370696913450956
9,499,0.006651632487773895,
9,499,,0.0030354794580489397
10,549,0.0036862834822386503,
10,549,,0.003712037578225136
11,599,0.0015389486216008663,
11,599,,0.003004685277119279
12,649,0.0039799027144908905,
12,649,,0.0033183617051690817
13,699,0.0020284082274883986,
13,699,,0.004225798416882753
14,749,0.00219153705984354,
14,749,,0.004534825682640076
15,799,0.0027283839881420135,
15,799,,0.002977650612592697
16,849,0.004497217014431953,
16,849,,0.003593826899304986
17,899,0.002376859076321125,
17,899,,0.0036524103488773108
18,949,0.003089125035330653,
18,949,,0.0037962780334055424
19,999,0.002783354138955474,
19,999,,0.004562217742204666
20,1049,0.004550134763121605,
20,1049,,0.0033555643167346716
21,1099,0.002831263467669487,
21,1099,,0.003711747471243143
22,1149,0.0035659323912113905,
22,1149,,0.003032880602404475
23,1199,0.003361998125910759,
23,1199,,0.003086225362494588
24,1249,0.002910671290010214,
24,1249,,0.0035121841356158257
25,1299,0.0027443363796919584,
25,1299,,0.0031760178972035646
26,1349,0.004959038458764553,
26,1349,,0.0041358498856425285
27,1399,0.0032259253785014153,
27,1399,,0.0031072492711246014
28,1449,0.0024296422488987446,
28,1449,,0.004892001394182444
29,1499,0.0003694884944707155,
29,1499,,0.0036127588246017694
30,1549,0.0019109162967652082,
30,1549,,0.005002336110919714
31,1599,0.00485153216868639,
31,1599,,0.0033121611922979355
32,1649,0.0026679635047912598,
32,1649,,0.004775486886501312
33,1699,0.0021782168187201023,
33,1699,,0.0035372432321310043
34,1749,0.004424589686095715,
34,1749,,0.0030139386653900146
35,1799,0.004066874738782644,
35,1799,,0.004223963711410761
36,1849,0.0029723290354013443,
36,1849,,0.003881069365888834
37,1899,0.003062631469219923,
37,1899,,0.0031703179702162743
38,1949,0.002824133960530162,
38,1949,,0.0036908022593706846
39,1999,0.002892920281738043,
39,1999,,0.005108920391649008
40,2049,0.003281838959082961,
40,2049,,0.004068662412464619
41,2099,0.003615661058574915,
41,2099,,0.003658124478533864
42,2149,0.0030600237660109997,
42,2149,,0.004006680566817522
43,2199,0.0008219366427510977,
43,2199,,0.0034314701333642006
44,2249,0.004394253715872765,
44,2249,,0.0037168723065406084
45,2299,0.0016792607493698597,
45,2299,,0.0030844523571431637
46,2349,0.0015236339531838894,
46,2349,,0.003033645451068878
47,2399,0.002357211196795106,
47,2399,,0.0033479626290500164
48,2449,0.0034201263915747404,
48,2449,,0.0036046288441866636
49,2499,0.005096136126667261,
49,2499,,0.0034633283503353596
