epoch,step,train_loss,val_loss
0,49,0.0055282264947891235,
0,49,,0.0044928002171218395
1,99,0.0020831963047385216,
1,99,,0.004025298170745373
2,149,0.0019434241112321615,
2,149,,0.003695810679346323
3,199,0.0032733757980167866,
3,199,,0.003985079471021891
4,249,0.003158320439979434,
4,249,,0.003493785159662366
5,299,0.003848040010780096,
5,299,,0.003839559853076935
6,349,0.0017240418819710612,
6,349,,0.004007542971521616
7,399,0.0022166443523019552,
7,399,,0.003745049238204956
8,449,0.004657393787056208,
8,449,,0.003265158738940954
9,499,0.0026017583440989256,
9,499,,0.004265999421477318
10,549,0.0037463922053575516,
10,549,,0.004547712858766317
11,599,0.002984612947329879,
11,599,,0.003235154552385211
12,649,0.002748320810496807,
12,649,,0.003547597210854292
13,699,0.0015908272471278906,
13,699,,0.003404750023037195
14,749,0.004727354273200035,
14,749,,0.004408643115311861
15,799,0.002950367983430624,
15,799,,0.0031651577446609735
16,849,0.002322429558262229,
16,849,,0.0037847794592380524
17,899,0.0025603219401091337,
17,899,,0.003786851419135928
18,949,0.0021013065706938505,
18,949,,0.0032238238491117954
19,999,0.006439132150262594,
19,999,,0.0037540828343480825
20,1049,0.003162081353366375,
20,1049,,0.004683977924287319
21,1099,0.002536957385018468,
21,1099,,0.0044633992947638035
22,1149,0.003494768403470516,
22,1149,,0.003354425774887204
23,1199,0.003368521109223366,
23,1199,,0.003300362266600132
24,1249,0.0006839242996647954,
24,1249,,0.004590576980262995
